timestamp,bid,ask,volume
2026-06-28 12:34:41.135737+00:00,2345.46,2345.71,5
2026-06-28 12:34:41.635737+00:00,2345.46,2345.78,2
2026-06-28 12:34:42.135737+00:00,2345.41,2345.65,2
2026-06-28 12:34:42.635737+00:00,2345.45,2345.71,3
2026-06-28 12:34:43.135737+00:00,2345.26,2345.62,7
2026-06-28 12:34:43.635737+00:00,2345.5,2345.73,7
2026-06-28 12:34:44.135737+00:00,2345.4,2345.66,1
2026-06-28 12:34:44.635737+00:00,2345.36,2345.66,2
2026-06-28 12:34:45.135737+00:00,2345.46,2345.71,7
2026-06-28 12:34:45.635737+00:00,2345.52,2345.77,4
2026-06-28 12:34:46.135737+00:00,2345.62,2345.9,7
2026-06-28 12:34:46.635737+00:00,2345.58,2345.81,6
2026-06-28 12:34:47.135737+00:00,2345.63,2345.84,2
2026-06-28 12:34:47.635737+00:00,2345.59,2345.97,7
2026-06-28 12:34:48.135737+00:00,2345.77,2346.02,3
2026-06-28 12:34:48.635737+00:00,2345.84,2346.07,5
2026-06-28 12:34:49.135737+00:00,2345.91,2346.14,4
2026-06-28 12:34:49.635737+00:00,2345.99,2346.27,7
2026-06-28 12:34:50.135737+00:00,2346.11,2346.35,6
2026-06-28 12:34:50.635737+00:00,2346.18,2346.42,3
2026-06-28 12:34:51.135737+00:00,2346.16,2346.45,2
2026-06-28 12:34:51.635737+00:00,2346.17,2346.42,7
2026-06-28 12:34:52.135737+00:00,2346.02,2346.24,2
2026-06-28 12:34:52.635737+00:00,2345.9,2346.11,5
2026-06-28 12:34:53.135737+00:00,2345.89,2346.14,5
2026-06-28 12:34:53.635737+00:00,2345.92,2346.22,1
2026-06-28 12:34:54.135737+00:00,2345.95,2346.17,4
2026-06-28 12:34:54.635737+00:00,2345.97,2346.28,7
2026-06-28 12:34:55.135737+00:00,2345.97,2346.17,2
2026-06-28 12:34:55.635737+00:00,2346.08,2346.32,3
2026-06-28 12:34:56.135737+00:00,2346.06,2346.32,6
2026-06-28 12:34:56.635737+00:00,2345.98,2346.2,5
2026-06-28 12:34:57.135737+00:00,2345.87,2346.21,5
2026-06-28 12:34:57.635737+00:00,2345.86,2346.18,5
2026-06-28 12:34:58.135737+00:00,2345.82,2346.03,7
2026-06-28 12:34:58.635737+00:00,2345.8,2346.08,5
2026-06-28 12:34:59.135737+00:00,2345.83,2346.11,3
2026-06-28 12:34:59.635737+00:00,2345.87,2346.12,5
2026-06-28 12:35:00.135737+00:00,2345.95,2346.16,4
2026-06-28 12:35:00.635737+00:00,2345.96,2346.27,5
2026-06-28 12:35:01.135737+00:00,2346.0,2346.25,3
2026-06-28 12:35:01.635737+00:00,2345.97,2346.18,3
2026-06-28 12:35:02.135737+00:00,2345.94,2346.15,6
2026-06-28 12:35:02.635737+00:00,2345.88,2346.11,4
2026-06-28 12:35:03.135737+00:00,2345.87,2346.2,1
2026-06-28 12:35:03.635737+00:00,2345.86,2346.12,5
2026-06-28 12:35:04.135737+00:00,2345.87,2346.16,3
2026-06-28 12:35:04.635737+00:00,2345.99,2346.2,6
2026-06-28 12:35:05.135737+00:00,2346.02,2346.29,1
2026-06-28 12:35:05.635737+00:00,2346.07,2346.35,3
2026-06-28 12:35:06.135737+00:00,2346.18,2346.49,7
2026-06-28 12:35:06.635737+00:00,2346.17,2346.42,7
2026-06-28 12:35:07.135737+00:00,2346.09,2346.36,2
2026-06-28 12:35:07.635737+00:00,2346.04,2346.36,5
2026-06-28 12:35:08.135737+00:00,2345.9,2346.22,1
2026-06-28 12:35:08.635737+00:00,2345.99,2346.28,4
2026-06-28 12:35:09.135737+00:00,2345.92,2346.13,1
2026-06-28 12:35:09.635737+00:00,2345.85,2346.11,6
2026-06-28 12:35:10.135737+00:00,2345.8,2346.02,7
2026-06-28 12:35:10.635737+00:00,2345.81,2346.02,1
2026-06-28 12:35:11.135737+00:00,2345.82,2346.06,5
2026-06-28 12:35:11.635737+00:00,2345.82,2346.08,4
2026-06-28 12:35:12.135737+00:00,2345.66,2345.94,3
2026-06-28 12:35:12.635737+00:00,2345.6,2345.85,5
2026-06-28 12:35:13.135737+00:00,2345.54,2345.9,3
2026-06-28 12:35:13.635737+00:00,2345.55,2345.83,2
2026-06-28 12:35:14.135737+00:00,2345.76,2346.01,4
2026-06-28 12:35:14.635737+00:00,2345.71,2346.01,6
2026-06-28 12:35:15.135737+00:00,2345.68,2345.97,4
2026-06-28 12:35:15.635737+00:00,2345.6,2345.91,5
2026-06-28 12:35:16.135737+00:00,2345.64,2345.98,5
2026-06-28 12:35:16.635737+00:00,2345.52,2345.82,6
2026-06-28 12:35:17.135737+00:00,2345.56,2345.86,3
2026-06-28 12:35:17.635737+00:00,2345.59,2345.86,2
2026-06-28 12:35:18.135737+00:00,2345.7,2345.94,7
2026-06-28 12:35:18.635737+00:00,2345.69,2345.99,1
2026-06-28 12:35:19.135737+00:00,2345.68,2345.98,1
2026-06-28 12:35:19.635737+00:00,2345.67,2345.9,7
2026-06-28 12:35:20.135737+00:00,2345.75,2346.02,7
2026-06-28 12:35:20.635737+00:00,2345.76,2345.98,7
2026-06-28 12:35:21.135737+00:00,2345.76,2346.05,5
2026-06-28 12:35:21.635737+00:00,2345.77,2346.0,4
2026-06-28 12:35:22.135737+00:00,2345.71,2345.93,6
2026-06-28 12:35:22.635737+00:00,2345.64,2345.91,3
2026-06-28 12:35:23.135737+00:00,2345.66,2345.96,5
2026-06-28 12:35:23.635737+00:00,2345.63,2345.95,5
2026-06-28 12:35:24.135737+00:00,2345.61,2345.81,5
2026-06-28 12:35:24.635737+00:00,2345.71,2345.91,2
2026-06-28 12:35:25.135737+00:00,2345.77,2345.99,2
2026-06-28 12:35:25.635737+00:00,2345.72,2345.98,6
2026-06-28 12:35:26.135737+00:00,2345.57,2345.87,5
2026-06-28 12:35:26.635737+00:00,2345.52,2345.73,6
2026-06-28 12:35:27.135737+00:00,2345.53,2345.74,4
2026-06-28 12:35:27.635737+00:00,2345.5,2345.75,6
2026-06-28 12:35:28.135737+00:00,2345.53,2345.79,5
2026-06-28 12:35:28.635737+00:00,2345.48,2345.74,6
2026-06-28 12:35:29.135737+00:00,2345.44,2345.73,1
2026-06-28 12:35:29.635737+00:00,2345.52,2345.86,7
2026-06-28 12:35:30.135737+00:00,2345.47,2345.68,4
2026-06-28 12:35:30.635737+00:00,2345.53,2345.73,1
2026-06-28 12:35:31.135737+00:00,2345.51,2345.83,4
2026-06-28 12:35:31.635737+00:00,2345.52,2345.81,2
2026-06-28 12:35:32.135737+00:00,2345.5,2345.81,7
2026-06-28 12:35:32.635737+00:00,2345.44,2345.8,7
2026-06-28 12:35:33.135737+00:00,2345.57,2345.86,1
2026-06-28 12:35:33.635737+00:00,2345.43,2345.76,6
2026-06-28 12:35:34.135737+00:00,2345.49,2345.79,4
2026-06-28 12:35:34.635737+00:00,2345.48,2345.79,6
2026-06-28 12:35:35.135737+00:00,2345.46,2345.7,6
2026-06-28 12:35:35.635737+00:00,2345.47,2345.78,5
2026-06-28 12:35:36.135737+00:00,2345.63,2345.87,1
2026-06-28 12:35:36.635737+00:00,2345.62,2345.83,6
2026-06-28 12:35:37.135737+00:00,2345.69,2345.9,3
2026-06-28 12:35:37.635737+00:00,2345.69,2345.96,3
2026-06-28 12:35:38.135737+00:00,2345.9,2346.1,1
2026-06-28 12:35:38.635737+00:00,2345.99,2346.29,7
2026-06-28 12:35:39.135737+00:00,2346.17,2346.41,6
2026-06-28 12:35:39.635737+00:00,2346.24,2346.55,4
2026-06-28 12:35:40.135737+00:00,2346.38,2346.6,1
2026-06-28 12:35:40.635737+00:00,2346.4,2346.76,2
2026-06-28 12:35:41.135737+00:00,2346.5,2346.7,4
2026-06-28 12:35:41.635737+00:00,2346.57,2346.82,4
2026-06-28 12:35:42.135737+00:00,2346.62,2346.85,5
2026-06-28 12:35:42.635737+00:00,2346.55,2346.81,4
2026-06-28 12:35:43.135737+00:00,2346.67,2346.91,7
2026-06-28 12:35:43.635737+00:00,2346.63,2346.85,2
2026-06-28 12:35:44.135737+00:00,2346.57,2346.84,6
2026-06-28 12:35:44.635737+00:00,2346.55,2346.84,4
2026-06-28 12:35:45.135737+00:00,2346.67,2346.92,6
2026-06-28 12:35:45.635737+00:00,2346.72,2346.94,1
2026-06-28 12:35:46.135737+00:00,2346.77,2346.98,4
2026-06-28 12:35:46.635737+00:00,2346.71,2346.98,3
2026-06-28 12:35:47.135737+00:00,2346.78,2347.04,1
2026-06-28 12:35:47.635737+00:00,2346.74,2346.95,4
2026-06-28 12:35:48.135737+00:00,2346.73,2347.0,6
2026-06-28 12:35:48.635737+00:00,2346.68,2346.98,7
2026-06-28 12:35:49.135737+00:00,2346.6,2347.08,7
2026-06-28 12:35:49.635737+00:00,2346.71,2347.08,1
2026-06-28 12:35:50.135737+00:00,2346.84,2347.16,1
2026-06-28 12:35:50.635737+00:00,2346.85,2347.07,5
2026-06-28 12:35:51.135737+00:00,2346.75,2347.06,5
2026-06-28 12:35:51.635737+00:00,2346.73,2347.05,2
2026-06-28 12:35:52.135737+00:00,2346.88,2347.16,7
2026-06-28 12:35:52.635737+00:00,2346.9,2347.17,4
2026-06-28 12:35:53.135737+00:00,2346.84,2347.15,6
2026-06-28 12:35:53.635737+00:00,2346.76,2347.08,4
2026-06-28 12:35:54.135737+00:00,2346.76,2347.0,2
2026-06-28 12:35:54.635737+00:00,2346.82,2347.07,4
2026-06-28 12:35:55.135737+00:00,2346.82,2347.02,5
2026-06-28 12:35:55.635737+00:00,2346.82,2347.1,3
2026-06-28 12:35:56.135737+00:00,2346.76,2347.03,2
2026-06-28 12:35:56.635737+00:00,2346.7,2346.98,7
2026-06-28 12:35:57.135737+00:00,2346.73,2346.94,5
2026-06-28 12:35:57.635737+00:00,2346.79,2347.01,2
2026-06-28 12:35:58.135737+00:00,2346.71,2347.1,5
2026-06-28 12:35:58.635737+00:00,2346.84,2347.05,3
2026-06-28 12:35:59.135737+00:00,2346.86,2347.12,5
2026-06-28 12:35:59.635737+00:00,2346.92,2347.12,3
2026-06-28 12:36:00.135737+00:00,2346.86,2347.13,6
2026-06-28 12:36:00.635737+00:00,2346.96,2347.21,3
2026-06-28 12:36:01.135737+00:00,2346.89,2347.17,2
2026-06-28 12:36:01.635737+00:00,2346.91,2347.2,1
2026-06-28 12:36:02.135737+00:00,2346.95,2347.27,1
2026-06-28 12:36:02.635737+00:00,2346.93,2347.14,3
2026-06-28 12:36:03.135737+00:00,2347.06,2347.3,6
2026-06-28 12:36:03.635737+00:00,2347.07,2347.27,6
2026-06-28 12:36:04.135737+00:00,2347.13,2347.34,3
2026-06-28 12:36:04.635737+00:00,2347.05,2347.32,5
2026-06-28 12:36:05.135737+00:00,2347.13,2347.39,4
2026-06-28 12:36:05.635737+00:00,2347.16,2347.43,7
2026-06-28 12:36:06.135737+00:00,2347.16,2347.4,2
2026-06-28 12:36:06.635737+00:00,2347.12,2347.35,5
2026-06-28 12:36:07.135737+00:00,2347.03,2347.31,3
2026-06-28 12:36:07.635737+00:00,2347.1,2347.39,5
2026-06-28 12:36:08.135737+00:00,2347.2,2347.51,6
2026-06-28 12:36:08.635737+00:00,2347.2,2347.43,7
2026-06-28 12:36:09.135737+00:00,2347.26,2347.64,4
2026-06-28 12:36:09.635737+00:00,2347.25,2347.56,6
2026-06-28 12:36:10.135737+00:00,2347.33,2347.59,5
2026-06-28 12:36:10.635737+00:00,2347.31,2347.57,2
2026-06-28 12:36:11.135737+00:00,2347.26,2347.53,2
2026-06-28 12:36:11.635737+00:00,2347.41,2347.62,6
2026-06-28 12:36:12.135737+00:00,2347.45,2347.67,7
2026-06-28 12:36:12.635737+00:00,2347.35,2347.6,6
2026-06-28 12:36:13.135737+00:00,2347.59,2347.88,4
2026-06-28 12:36:13.635737+00:00,2347.64,2347.88,1
2026-06-28 12:36:14.135737+00:00,2347.67,2347.88,4
2026-06-28 12:36:14.635737+00:00,2347.73,2347.96,5
2026-06-28 12:36:15.135737+00:00,2347.63,2347.85,3
2026-06-28 12:36:15.635737+00:00,2347.73,2347.96,4
2026-06-28 12:36:16.135737+00:00,2347.77,2348.01,6
2026-06-28 12:36:16.635737+00:00,2347.73,2348.07,4
2026-06-28 12:36:17.135737+00:00,2347.87,2348.08,5
